Transaction_ID,Customer_ID,Transaction_Date,Merchant_Name,Merchant_Category,Amount,Payment_Mode,Reward_Points,Transaction_Status,Fraud_Flag,Outstanding_Balance
T200034,C100478,2025-05-05,PVR,Entertainment,6876,Tap,68,Success,No,260519
T200035,C101655,2024-05-24,IndianOil,Fuel,6104,Tap,61,Success,No,2270
T200036,C101109,2024-12-23,Dominos,Dining,6955,Chip,69,Success,No,10293
T200037,C100060,2024-12-01,Flipkart,Shopping,2849,Tap,28,Success,No,78946
T200038,C100935,2024-06-23,Amazon,Shopping,9559,Online,95,Success,No,39833
T200039,C102786,2024-08-08,KFC,Dining,6273,Chip,62,Success,No,23306
T200040,C102075,2025-07-14,Electricity,Utilities,5196,Swipe,51,Success,No,12019
T200041,C101173,2024-07-12,DMart,Grocery,8830,Tap,88,Success,No,201944
T200042,C102083,2025-08-11,Apollo,Healthcare,5207,Online,52,Success,No,96986
T200043,C100791,2025-06-11,Electricity,Utilities,9727,Tap,97,Success,No,33194
T200044,C101751,2025-02-15,Croma,Electronics,38791,Swipe,387,Success,No,758884
T200045,C101493,2024-11-24,HP,Fuel,5938,Chip,59,Success,No,65821
T200046,C101147,2025-11-18,HP,Fuel,4963,Swipe,49,Success,Yes,92223
T200047,C101565,2024-11-16,Reliance Fresh,Grocery,6007,Tap,60,Success,No,100670
T200048,C102350,2024-05-02,Dominos,Dining,3989,Chip,39,Success,No,39790
T200049,C100039,2024-09-30,Amazon,Shopping,6761,Tap,67,Success,No,626997
T200050,C101405,2024-01-24,Reliance Fresh,Grocery,1444,Online,14,Success,No,53990
T200051,C102078,2025-12-20,PVR,Entertainment,6334,Chip,63,Success,No,30866
T200052,C102492,2024-05-08,Amazon,Shopping,2123,Chip,21,Success,No,263956
T200053,C100588,2025-01-25,Reliance Fresh,Grocery,5930,Online,59,Success,No,681976
T200054,C101239,2024-03-29,DMart,Grocery,4539,Swipe,45,Success,No,742828
T200055,C100232,2025-05-19,KFC,Dining,2379,Chip,23,Success,No,92194
T200056,C102333,2024-02-17,Reliance Fresh,Grocery,905,Online,9,Success,No,3998
T200057,C101797,2025-07-23,Electricity,Utilities,8182,Online,81,Success,No,50167
T200058,C100474,2024-12-05,Reliance Fresh,Grocery,1547,Swipe,15,Success,No,5858
T200059,C101883,2024-01-30,PVR,Entertainment,361,Chip,3,Success,No,579252
T200060,C101573,2025-05-03,PVR,Entertainment,4395,Tap,43,Success,Yes,157514
T200061,C102932,2024-03-26,Taj Hotels,Hotels,5688,Tap,56,Success,No,33708
T200062,C101030,2025-10-04,Dominos,Dining,3446,Tap,34,Success,No,43152
T200063,C102272,2025-03-29,Coursera,Education,8534,Online,85,Success,No,133811
T200064,C101367,2025-03-02,KFC,Dining,1313,Chip,13,Success,No,6876
T200065,C100375,2025-07-23,PVR,Entertainment,1544,Online,15,Success,No,101465
T200066,C100101,2025-08-14,PVR,Entertainment,9752,Swipe,97,Success,No,41755
T200067,C102648,2025-06-17,Croma,Electronics,43258,Tap,432,Success,No,67200
T200068,C101643,2024-05-04,IndianOil,Fuel,9431,Tap,94,Success,No,93231
T200069,C101353,2024-09-02,Coursera,Education,6025,Tap,60,Success,No,294017
T200070,C101451,2024-12-05,Reliance Fresh,Grocery,7869,Chip,78,Success,No,147953
T200071,C102209,2025-06-13,Flipkart,Shopping,8184,Online,81,Success,Yes,267666
T200072,C102801,2024-06-19,Flipkart,Shopping,5535,Tap,55,Success,No,310903
T200073,C100040,2024-04-23,Amazon,Shopping,2702,Chip,27,Success,No,422
T200074,C100923,2025-03-13,IndianOil,Fuel,783,Tap,7,Success,No,44937
T200075,C102474,2024-01-19,PVR,Entertainment,8045,Online,80,Success,No,526785
T200076,C100043,2025-08-11,IndianOil,Fuel,7958,Online,79,Success,No,85315
T200077,C100333,2024-11-26,DMart,Grocery,5955,Tap,59,Success,No,250387
T200078,C102464,2024-10-08,MedPlus,Pharmacy,9925,Online,99,Success,No,256138
T200079,C101488,2025-03-14,DMart,Grocery,4869,Online,48,Success,No,20511
T200080,C100935,2025-09-19,MedPlus,Pharmacy,8177,Online,81,Success,No,140624
T200081,C101547,2025-09-18,MedPlus,Pharmacy,5968,Online,59,Success,No,58506
T200082,C101493,2025-08-02,IRCTC,Travel,31240,Chip,312,Failed,No,52240
T200083,C102634,2024-02-08,Apollo,Healthcare,1099,Swipe,10,Success,No,25122
T200084,C101704,2025-06-20,Apollo,Healthcare,2643,Tap,26,Success,No,16548
T200085,C101765,2025-01-25,MakeMyTrip,Travel,40117,Online,401,Success,No,125723
T200086,C100180,2025-10-10,Reliance Fresh,Grocery,7241,Swipe,72,Success,No,10854
T200087,C102969,2024-12-07,DMart,Grocery,3320,Chip,33,Success,No,18871
T200088,C101281,2024-04-16,MedPlus,Pharmacy,8734,Tap,87,Success,No,127394
T200089,C100267,2025-02-06,HP,Fuel,358,Swipe,3,Success,No,116981
T200090,C102722,2025-10-10,Electricity,Utilities,4479,Chip,44,Success,No,211235
T200091,C102208,2025-10-01,Reliance Fresh,Grocery,3478,Swipe,34,Success,No,78358
T200092,C102429,2025-10-03,Amazon,Shopping,8795,Chip,87,Success,No,233018
T200093,C100651,2024-11-24,Croma,Electronics,22475,Chip,224,Success,No,187389
T200094,C100962,2024-05-22,IndianOil,Fuel,8244,Swipe,82,Success,No,287845
T200095,C101411,2025-02-11,DMart,Grocery,6928,Online,69,Success,No,48598
T200096,C101386,2025-05-07,IRCTC,Travel,51929,Tap,519,Success,Yes,23462
T200097,C101173,2024-03-11,Amazon,Shopping,8371,Chip,83,Success,No,194157
T200098,C102702,2024-06-18,Flipkart,Shopping,4997,Tap,49,Success,No,102334
T200099,C100855,2025-11-20,Flipkart,Shopping,4615,Chip,46,Success,No,99527
T200100,C101311,2024-12-24,MedPlus,Pharmacy,9444,Online,94,Success,No,227736
T200101,C100272,2025-09-19,IndianOil,Fuel,7987,Tap,79,Success,No,95064
T200102,C102170,2025-04-27,Coursera,Education,5112,Online,51,Success,No,70391
T200103,C102999,2025-08-19,Dominos,Dining,9335,Tap,93,Success,No,2802
T200104,C101381,2024-11-01,Amazon,Shopping,8076,Swipe,80,Success,No,63174
T200105,C102365,2024-04-22,HP,Fuel,7745,Swipe,77,Success,No,6257
T200106,C101696,2025-09-21,Dominos,Dining,7675,Tap,76,Success,No,37714
T200107,C100183,2025-04-24,Flipkart,Shopping,8890,Tap,88,Success,No,191513
T200108,C102418,2024-11-12,IndianOil,Fuel,5713,Swipe,57,Success,No,63936
T200109,C100008,2024-08-31,IRCTC,Travel,61388,Chip,613,Success,No,19876
T200110,C101922,2025-08-19,Dominos,Dining,5826,Tap,58,Success,No,88362
T200111,C100168,2025-02-22,MedPlus,Pharmacy,8092,Online,80,Success,No,85671
T200112,C100047,2024-08-06,Reliance Fresh,Grocery,2026,Tap,20,Success,No,31239
T200113,C100226,2025-03-31,DMart,Grocery,7718,Swipe,77,Success,No,621703
T200114,C102541,2024-09-08,Apollo,Healthcare,9764,Tap,97,Success,No,727223
T200115,C100013,2025-05-26,IRCTC,Travel,75060,Tap,750,Success,No,113640
T200116,C102435,2024-04-13,Apollo,Healthcare,707,Swipe,7,Success,No,203583
T200117,C101749,2025-01-27,Croma,Electronics,5252,Online,52,Success,No,4622
T200118,C101334,2025-09-03,Coursera,Education,9514,Chip,95,Success,No,91845
T200119,C101409,2025-01-08,IRCTC,Travel,12927,Chip,129,Success,No,14397
T200120,C101969,2025-03-14,IRCTC,Travel,58449,Online,584,Success,No,207557
T200121,C100262,2025-04-10,Dominos,Dining,8737,Chip,87,Success,No,7575
T200122,C101313,2024-12-19,MakeMyTrip,Travel,35501,Swipe,355,Success,No,30209
T200123,C102831,2024-11-13,IndianOil,Fuel,1319,Chip,13,Success,No,122708
T200124,C101994,2024-11-17,Amazon,Shopping,7181,Online,71,Success,No,117973
T200125,C101367,2024-10-01,MedPlus,Pharmacy,7335,Swipe,73,Success,No,91030
T200126,C100586,2025-01-07,Apollo,Healthcare,944,Online,9,Success,No,29927
T200127,C102072,2024-12-16,KFC,Dining,6487,Chip,64,Success,No,111385
T200128,C101478,2024-09-27,Taj Hotels,Hotels,3987,Swipe,39,Success,No,77502
T200129,C102394,2025-11-19,Electricity,Utilities,7131,Chip,71,Success,No,132388
T200130,C101035,2024-06-11,Coursera,Education,1337,Online,13,Success,No,84481
T200131,C102842,2025-09-25,PVR,Entertainment,9054,Tap,90,Success,No,174664
T200132,C102171,2025-01-21,Taj Hotels,Hotels,7497,Tap,74,Success,No,143051
T200133,C100061,2025-06-17,HP,Fuel,5294,Swipe,52,Success,No,57344
T200134,C101641,2025-06-07,MedPlus,Pharmacy,1498,Swipe,14,Success,No,24586
T200135,C101071,2024-04-12,KFC,Dining,3476,Chip,34,Success,No,70762
T200136,C100232,2025-05-23,Electricity,Utilities,8504,Swipe,85,Success,No,73258
T200137,C101640,2025-06-18,KFC,Dining,2816,Chip,28,Success,No,86753
T200138,C102346,2024-06-22,HP,Fuel,1077,Chip,10,Success,No,232215
T200139,C101763,2024-10-25,KFC,Dining,126,Online,1,Success,No,103518
T200140,C102079,2025-07-10,Croma,Electronics,55384,Chip,553,Success,No,28418
T200141,C100997,2025-12-06,Croma,Electronics,79228,Swipe,792,Success,No,253115
T200142,C101236,2025-06-12,KFC,Dining,8275,Online,82,Success,No,274492
T200143,C100265,2024-02-15,Reliance Fresh,Grocery,1787,Chip,17,Success,No,29146
T200144,C100129,2024-09-19,Coursera,Education,6442,Online,64,Success,No,210032
T200145,C101900,2025-09-15,IndianOil,Fuel,6674,Swipe,66,Success,No,120948
T200146,C102107,2025-05-13,MedPlus,Pharmacy,9424,Swipe,94,Success,No,93015
T200147,C101779,2024-05-06,HP,Fuel,1975,Swipe,19,Success,No,6957
T200148,C101356,2025-02-04,Electricity,Utilities,3177,Online,31,Success,No,75966
T200149,C102379,2025-09-04,Croma,Electronics,15548,Chip,155,Success,No,8779
T200150,C101600,2024-05-23,PVR,Entertainment,5685,Chip,56,Success,No,1807
T200151,C102734,2025-06-10,KFC,Dining,9117,Swipe,91,Success,No,144884
T200152,C102752,2025-05-30,Electricity,Utilities,3360,Tap,33,Success,No,30250
T200153,C101357,2024-03-27,Amazon,Shopping,169,Online,1,Success,No,171060
T200154,C101058,2024-12-19,Dominos,Dining,6283,Swipe,62,Success,No,740313
T200155,C100243,2024-06-03,Electricity,Utilities,5084,Chip,50,Success,No,11590
T200156,C100501,2025-05-08,Reliance Fresh,Grocery,6123,Swipe,61,Success,No,92606
T200157,C100957,2025-12-17,HP,Fuel,1737,Swipe,17,Success,No,509537
T200158,C100192,2024-11-06,Reliance Fresh,Grocery,8297,Swipe,82,Success,No,300484
T200159,C100982,2025-07-07,HP,Fuel,178,Chip,1,Success,No,132838
T200160,C103001,2024-04-28,Flipkart,Shopping,3521,Online,35,Success,No,33930
T200161,C101650,2024-01-10,Electricity,Utilities,7715,Online,77,Success,No,7948
T200162,C101398,2025-11-15,HP,Fuel,9719,Chip,97,Success,No,83233
T200163,C100597,2025-08-17,Reliance Fresh,Grocery,3972,Online,39,Success,No,69257
T200164,C101087,2024-12-14,Coursera,Education,5561,Swipe,55,Success,No,69213
T200165,C100723,2025-03-25,Reliance Fresh,Grocery,8838,Chip,88,Success,No,91869
T200166,C100804,2024-06-15,DMart,Grocery,5743,Online,57,Success,No,75893
T200167,C102697,2025-02-27,Vijay Sales,Electronics,76085,Swipe,760,Success,No,62563
T200168,C102978,2025-01-05,Reliance Fresh,Grocery,9539,Tap,95,Success,No,235706
T200169,C102460,2024-06-04,MedPlus,Pharmacy,5693,Chip,56,Success,No,239031
T200170,C101375,2024-07-27,Amazon,Shopping,4950,Swipe,49,Success,No,6482
T200171,C100800,2025-03-20,Vijay Sales,Electronics,69361,Online,693,Success,No,1495
T200172,C100165,2025-07-15,Amazon,Shopping,6780,Online,67,Success,No,214835
T200173,C100577,2025-04-24,Flipkart,Shopping,7320,Swipe,73,Success,No,49097
T200174,C100664,2024-07-07,Flipkart,Shopping,2464,Online,24,Success,No,77235
T200175,C100145,2024-05-06,Amazon,Shopping,1003,Chip,10,Success,No,46870
T200176,C100836,2025-10-30,Amazon,Shopping,3170,Chip,31,Success,No,70731
T200177,C101839,2024-05-26,IndianOil,Fuel,3255,Chip,32,Success,No,6800
T200178,C101817,2025-12-26,Amazon,Shopping,4232,Swipe,42,Success,No,210310
T200179,C100096,2025-11-27,Electricity,Utilities,9373,Swipe,93,Success,No,59392
T200180,C101100,2024-11-26,Amazon,Shopping,3224,Chip,32,Success,No,102704
T200181,C102656,2024-02-03,IndianOil,Fuel,8387,Online,83,Success,No,6364
T200182,C102557,2025-06-28,PVR,Entertainment,8800,Online,88,Success,No,301222
T200183,C100443,2024-01-11,PVR,Entertainment,1847,Tap,18,Success,No,272777
T200184,C102919,2025-03-30,Dominos,Dining,2445,Online,24,Failed,No,32450
T200185,C100780,2025-03-10,Taj Hotels,Hotels,6082,Online,60,Success,No,73024
T200186,C101611,2024-06-21,KFC,Dining,788,Swipe,7,Success,No,17047
T200187,C100469,2024-11-29,Electricity,Utilities,660,Online,6,Success,No,93989
T200188,C100587,2024-06-12,PVR,Entertainment,8946,Online,89,Success,No,253774
T200189,C102882,2025-01-05,Coursera,Education,4222,Online,42,Success,No,74368
T200190,C101799,2024-11-03,Amazon,Shopping,7864,Swipe,78,Success,No,40594
T200191,C100631,2024-01-05,DMart,Grocery,3094,Swipe,30,Success,No,493887
T200192,C102951,2024-06-02,DMart,Grocery,3029,Swipe,30,Success,No,20784
T200193,C100997,2025-01-10,Amazon,Shopping,1447,Tap,14,Success,No,156005
T200194,C102817,2024-10-02,Dominos,Dining,2352,Online,23,Success,No,7281
T200195,C101868,2024-12-30,Reliance Fresh,Grocery,5335,Chip,53,Failed,No,12802
T200196,C102804,2025-02-11,Flipkart,Shopping,4242,Swipe,42,Success,No,240975
T200197,C100810,2024-07-25,IRCTC,Travel,38419,Swipe,384,Success,No,49450
T200198,C101464,2025-02-11,Taj Hotels,Hotels,2422,Swipe,24,Success,No,113333
T200199,C100155,2024-08-22,DMart,Grocery,4353,Chip,43,Success,No,80493
T200200,C102884,2025-10-11,Vijay Sales,Electronics,69768,Online,697,Success,No,81390
T200201,C100334,2025-11-16,DMart,Grocery,1850,Chip,18,Success,No,506868
T200202,C101956,2025-07-29,Flipkart,Shopping,1306,Chip,13,Success,No,111199
T200203,C100470,2025-04-05,Apollo,Healthcare,2169,Swipe,21,Success,No,74069
T200204,C102683,2024-04-15,IndianOil,Fuel,7908,Tap,79,Success,No,311107
T200205,C100490,2025-09-10,Taj Hotels,Hotels,5387,Online,53,Success,No,110631
T200206,C102579,2025-04-15,IndianOil,Fuel,417,Tap,4,Success,No,108853
T200207,C101909,2025-08-19,Electricity,Utilities,3106,Online,31,Success,No,249795
T200208,C100334,2025-12-10,Dominos,Dining,9951,Swipe,99,Success,No,249282
T200209,C100588,2025-12-26,HP,Fuel,7465,Online,74,Success,No,455337
T200210,C100207,2024-11-07,Reliance Fresh,Grocery,4967,Online,49,Success,No,179625
T200211,C102741,2025-12-29,Vijay Sales,Electronics,47535,Tap,475,Success,No,425827
T200212,C100037,2024-08-19,Electricity,Utilities,2667,Tap,26,Success,No,99994
T200213,C102037,2024-02-21,MakeMyTrip,Travel,39005,Swipe,390,Success,No,109775
T200214,C102056,2025-05-09,Reliance Fresh,Grocery,255,Chip,2,Success,No,185774
T200215,C100478,2024-05-08,Dominos,Dining,2849,Tap,28,Success,No,72572
T200216,C100731,2025-09-01,Amazon,Shopping,3717,Swipe,37,Success,No,6953
T200217,C100617,2024-04-21,Taj Hotels,Hotels,1742,Swipe,17,Success,No,31683
T200218,C100042,2024-12-02,Croma,Electronics,52004,Online,520,Success,No,515209
T200219,C101705,2025-09-17,Taj Hotels,Hotels,288,Chip,2,Success,No,65994
T200220,C102319,2025-07-05,Taj Hotels,Hotels,7446,Chip,74,Success,No,603149
T200221,C101172,2025-05-03,Coursera,Education,6936,Swipe,69,Success,No,63084
T200222,C100405,2024-11-04,IndianOil,Fuel,2865,Online,28,Success,No,85734
T200223,C102936,2025-09-11,MedPlus,Pharmacy,5415,Swipe,54,Success,Yes,75104
T200224,C101716,2025-10-22,DMart,Grocery,7183,Tap,71,Success,No,70835
T200225,C101979,2024-09-23,Reliance Fresh,Grocery,4186,Swipe,41,Success,No,333550
T200226,C102793,2025-12-23,PVR,Entertainment,4172,Swipe,41,Success,No,37646
T200227,C101123,2024-11-09,Vijay Sales,Electronics,35180,Chip,351,Success,No,25749
T200228,C100252,2024-07-06,Amazon,Shopping,4641,Tap,46,Success,No,309311
T200229,C102634,2024-04-10,MakeMyTrip,Travel,43927,Chip,439,Success,No,66970
T200230,C100919,2024-08-01,Reliance Fresh,Grocery,3908,Swipe,39,Success,No,712207
T200231,C101249,2025-05-02,Taj Hotels,Hotels,5182,Tap,51,Success,No,38419
T200232,C101508,2024-09-04,Flipkart,Shopping,3227,Chip,32,Success,No,28817
T200233,C100814,2024-11-30,DMart,Grocery,6649,Swipe,66,Success,No,17310
T200234,C102501,2024-02-25,DMart,Grocery,6090,Tap,60,Success,No,261439
T200235,C101303,2024-12-15,Taj Hotels,Hotels,4579,Online,45,Success,No,39210
T200236,C100919,2024-11-24,DMart,Grocery,6183,Chip,61,Success,No,137988
T200237,C101389,2024-09-12,Coursera,Education,8067,Tap,80,Success,No,95559
T200238,C101476,2025-09-23,DMart,Grocery,5180,Online,51,Success,No,8962
T200239,C102372,2025-03-18,Dominos,Dining,5245,Chip,52,Success,No,51423
T200240,C100976,2024-05-03,Taj Hotels,Hotels,4649,Online,46,Failed,No,56437
T200241,C102388,2025-03-18,Electricity,Utilities,8889,Chip,88,Success,No,750905
T200242,C100853,2024-10-23,DMart,Grocery,7607,Chip,76,Success,No,21776
T200243,C102613,2025-09-01,HP,Fuel,8307,Online,83,Success,No,55053
T200244,C101830,2024-01-25,Electricity,Utilities,3210,Swipe,32,Success,No,55372
T200245,C102436,2024-04-08,MedPlus,Pharmacy,1890,Swipe,18,Success,No,218941
T200246,C102570,2024-04-10,IndianOil,Fuel,8055,Chip,80,Success,No,292168
T200247,C102997,2024-04-26,HP,Fuel,1977,Online,19,Success,No,274204
T200248,C101760,2025-09-02,Vijay Sales,Electronics,11712,Swipe,117,Success,No,220444
T200249,C101515,2024-06-13,Flipkart,Shopping,5573,Online,55,Success,No,70294
T200250,C102445,2024-06-09,DMart,Grocery,297,Swipe,2,Success,No,63999
T200251,C102794,2024-08-03,Amazon,Shopping,4857,Tap,48,Success,No,120088
T200252,C101327,2025-06-30,HP,Fuel,8550,Chip,85,Success,No,15088
T200253,C102185,2025-01-15,MedPlus,Pharmacy,8626,Swipe,86,Success,No,74670
T200254,C100606,2024-09-23,HP,Fuel,9088,Online,90,Success,No,41644
T200255,C102197,2025-04-05,IndianOil,Fuel,7223,Tap,72,Success,No,54769
T200256,C101918,2024-12-28,Electricity,Utilities,8151,Online,81,Success,No,159552
T200257,C101785,2025-05-30,Dominos,Dining,6689,Swipe,66,Success,No,46873
T200258,C102809,2024-02-03,Flipkart,Shopping,3532,Chip,35,Success,No,94340
T200259,C101385,2025-04-25,IRCTC,Travel,56267,Online,562,Success,No,31486
T200260,C100369,2025-05-07,Coursera,Education,3377,Swipe,33,Success,No,73034
T200261,C100119,2024-06-06,MedPlus,Pharmacy,1865,Swipe,18,Success,No,706003
T200262,C102584,2024-12-11,Reliance Fresh,Grocery,1043,Tap,10,Success,No,152081
T200263,C101241,2025-11-12,Flipkart,Shopping,4946,Chip,49,Success,No,19124
T200264,C101352,2024-11-13,Electricity,Utilities,7607,Online,76,Success,No,17708
T200265,C102041,2025-06-22,KFC,Dining,3412,Chip,34,Success,No,32601
T200266,C101953,2024-06-10,Amazon,Shopping,590,Tap,5,Success,No,328069
T200267,C101387,2025-03-24,PVR,Entertainment,8156,Online,81,Success,No,55761
T200268,C100277,2024-07-18,Taj Hotels,Hotels,6448,Tap,64,Success,No,726859
T200269,C102681,2025-10-09,IRCTC,Travel,20647,Online,206,Success,No,85801
T200270,C100083,2024-02-09,DMart,Grocery,4192,Tap,41,Success,No,37613
T200271,C101368,2025-06-15,MedPlus,Pharmacy,1772,Swipe,17,Success,No,48360
T200272,C101294,2025-02-26,IndianOil,Fuel,8404,Online,84,Failed,No,9102
T200273,C102281,2025-07-20,DMart,Grocery,3044,Tap,30,Success,No,276406
T200274,C101636,2024-03-25,IndianOil,Fuel,9663,Tap,96,Success,No,54563
T200275,C101172,2024-11-06,Vijay Sales,Electronics,72406,Tap,724,Success,No,36942
T200276,C101160,2025-07-11,DMart,Grocery,4352,Online,43,Success,No,562761
T200277,C100133,2024-02-12,Apollo,Healthcare,7661,Chip,76,Success,No,192409
T200278,C101185,2025-10-08,DMart,Grocery,8832,Swipe,88,Success,No,99784
T200279,C100073,2024-01-07,IndianOil,Fuel,10000,Online,100,Success,No,53577
T200280,C100176,2024-04-14,Reliance Fresh,Grocery,1615,Chip,16,Success,No,65085
T200281,C101139,2025-02-23,HP,Fuel,9918,Chip,99,Success,No,254909
T200282,C101078,2024-03-12,DMart,Grocery,3711,Swipe,37,Success,No,103811
T200283,C100879,2025-12-15,PVR,Entertainment,5212,Chip,52,Success,Yes,45048
T200284,C102948,2024-11-15,IndianOil,Fuel,7389,Online,73,Success,No,81190
T200285,C101899,2025-01-30,Vijay Sales,Electronics,278,Online,2,Success,No,50086
T200286,C100721,2024-09-25,HP,Fuel,8727,Tap,87,Success,No,54822
T200287,C100641,2025-04-13,PVR,Entertainment,5256,Tap,52,Success,No,19984
T200288,C100277,2024-08-07,Taj Hotels,Hotels,995,Online,9,Success,No,233291
T200289,C100863,2024-04-19,HP,Fuel,160,Chip,1,Success,No,319007
T200290,C100562,2024-03-13,MedPlus,Pharmacy,1557,Swipe,15,Success,No,39381
T200291,C100451,2024-08-27,KFC,Dining,2849,Swipe,28,Success,No,183811
T200292,C101098,2024-03-30,Amazon,Shopping,5796,Swipe,57,Success,No,31645
T200293,C100608,2024-11-25,Reliance Fresh,Grocery,5544,Chip,55,Success,No,21724
T200294,C101160,2025-02-13,Reliance Fresh,Grocery,449,Online,4,Success,No,546364
T200295,C100179,2024-09-15,HP,Fuel,9666,Swipe,96,Success,No,66684
T200296,C102212,2025-04-11,DMart,Grocery,6740,Online,67,Success,No,28079
T200297,C101436,2025-10-31,MedPlus,Pharmacy,8067,Online,80,Success,No,116351
T200298,C101223,2025-03-30,Flipkart,Shopping,9856,Swipe,98,Success,No,19384
T200299,C101852,2024-02-23,PVR,Entertainment,7347,Swipe,73,Success,No,55459
T200300,C100626,2024-12-08,Amazon,Shopping,1620,Online,16,Success,No,93499
T200301,C100789,2025-12-19,IndianOil,Fuel,3922,Tap,39,Success,No,106733
T200302,C101901,2024-08-04,PVR,Entertainment,9398,Chip,93,Success,No,13900
T200303,C102833,2025-08-20,IndianOil,Fuel,1007,Chip,10,Success,No,307057
T200304,C100615,2025-05-04,Flipkart,Shopping,3613,Online,36,Success,No,80402
T200305,C102680,2025-03-13,Reliance Fresh,Grocery,3646,Chip,36,Success,No,100053
T200306,C101154,2025-06-22,Croma,Electronics,25800,Online,258,Success,No,182974
T200307,C101470,2025-07-20,IndianOil,Fuel,2613,Online,26,Success,No,203434
T200308,C101660,2025-05-08,DMart,Grocery,4055,Online,40,Success,No,32602
T200309,C101021,2025-05-04,PVR,Entertainment,196,Chip,1,Success,No,53093
T200310,C102350,2024-12-13,IndianOil,Fuel,2040,Swipe,20,Success,No,17858
T200311,C100639,2024-08-01,Apollo,Healthcare,6178,Online,61,Success,No,420105
T200312,C102119,2025-09-05,Reliance Fresh,Grocery,5468,Chip,54,Failed,No,30248
T200313,C101656,2025-08-20,Flipkart,Shopping,1722,Chip,17,Success,No,104210
T200314,C101397,2024-02-24,IndianOil,Fuel,5494,Swipe,54,Success,No,51043
T200315,C102801,2025-03-01,Amazon,Shopping,1007,Swipe,10,Success,No,38692
T200316,C100079,2024-03-24,Amazon,Shopping,9305,Chip,93,Success,No,269625
T200317,C101268,2024-05-23,DMart,Grocery,119,Chip,1,Success,No,67108
T200318,C100338,2025-02-18,Electricity,Utilities,9487,Online,94,Success,No,293958
T200319,C101004,2024-05-07,IndianOil,Fuel,1305,Online,13,Success,No,554932
T200320,C102665,2024-11-20,Electricity,Utilities,4114,Online,41,Success,No,190212
T200321,C100340,2024-05-23,Amazon,Shopping,1276,Swipe,12,Success,No,71414
T200322,C100910,2024-05-04,IndianOil,Fuel,8722,Online,87,Success,No,75347
T200323,C100170,2024-04-29,DMart,Grocery,576,Online,5,Success,No,100214
T200324,C100488,2025-02-27,IndianOil,Fuel,5291,Online,52,Success,No,8666
T200325,C102550,2025-12-31,IndianOil,Fuel,2514,Chip,25,Success,No,8876
